,id,open,close,low,high,amount,vol,count
165,2018-02-24 00:00:00,26.23,25.12,24.44,27.7,72305.59076429716,1882213.0526058972,8445.0
166,2018-02-23 00:00:00,25.01,26.23,23.92,26.8,72450.27157250648,1835896.8673014797,8805.0
167,2018-02-22 00:00:00,26.79,25.01,24.03,27.9,96708.57083946785,2520555.205586319,10150.0
168,2018-02-21 00:00:00,31.02,26.82,26.52,31.11,101952.25776285781,2903490.1452973466,10631.0
169,2018-02-20 00:00:00,31.76,31.03,30.52,32.1,50030.08594993701,1563940.333425948,7952.0
170,2018-02-19 00:00:00,30.38,31.7,29.56,32.15,48560.44124684536,1506787.765069742,8391.0
171,2018-02-18 00:00:00,32.35,30.45,28.49,32.76,73629.19146534584,2271783.150149987,9624.0
172,2018-02-17 00:00:00,31.68,32.35,31.25,32.72,62616.941802218986,2019463.9143732234,8453.0
173,2018-02-16 00:00:00,31.38,31.69,30.25,32.75,60632.840358631736,1912505.7380074174,8528.0
174,2018-02-15 00:00:00,31.28,31.36,30.22,32.44,99830.07437601578,3150067.2961082063,10273.0
175,2018-02-14 00:00:00,28.41,31.28,28.0,31.28,129743.05731963662,3906478.1718427665,12483.0
176,2018-02-13 00:00:00,28.51,28.41,27.26,29.9,85356.30054806688,2440185.4429696007,9881.0
177,2018-02-12 00:00:00,28.33,28.43,26.13,29.17,74931.04610936255,2104968.107308222,9975.0
178,2018-02-11 00:00:00,28.12,28.3,25.16,28.88,114957.7722097875,3089351.963999116,12326.0
179,2018-02-10 00:00:00,28.39,28.04,28.0,33.0,184594.6729364739,5538700.937149325,18791.0
180,2018-02-09 00:00:00,23.64,28.41,23.36,29.72,308332.267321236,8507428.710286045,27122.0
181,2018-02-08 00:00:00,23.39,23.64,21.26,25.49,155217.44355969914,3638336.1537504266,21452.0
182,2018-02-07 00:00:00,20.96,23.39,19.34,24.79,236812.33089341575,5359931.123960599,25831.0
183,2018-02-06 00:00:00,22.15,20.96,16.32,22.6,370694.3556379923,7037025.35636478,30076.0
184,2018-02-05 00:00:00,26.54,22.15,21.5,27.35,194838.2525341978,4803054.675075278,23136.0
185,2018-02-04 00:00:00,30.36,26.5,25.97,31.84,168130.04216574607,4808681.4122948,24018.0
